	bins [ps]	counts [#]
0	0.0	2.0
1	4000.0	2.0
2	8000.0	3.0
3	12000.0	3.0
4	16000.0	5.0
5	20000.0	7.0
6	24000.0	2.0
7	28000.0	2.0
8	32000.0	4.0
9	36000.0	4.0
10	40000.0	1.0
11	44000.0	2.0
12	48000.0	1.0
13	52000.0	5.0
14	56000.0	1886.0
15	60000.0	1538.0
16	64000.0	831.0
17	68000.0	659.0
18	72000.0	524.0
19	76000.0	550.0
20	80000.0	588.0
21	84000.0	575.0
22	88000.0	540.0
23	92000.0	492.0
24	96000.0	520.0
25	100000.0	465.0
26	104000.0	488.0
27	108000.0	512.0
28	112000.0	459.0
29	116000.0	459.0
30	120000.0	463.0
31	124000.0	492.0
32	128000.0	492.0
33	132000.0	459.0
34	136000.0	448.0
35	140000.0	456.0
36	144000.0	440.0
37	148000.0	443.0
38	152000.0	440.0
39	156000.0	440.0
40	160000.0	437.0
41	164000.0	461.0
42	168000.0	499.0
43	172000.0	468.0
44	176000.0	465.0
45	180000.0	448.0
46	184000.0	444.0
47	188000.0	434.0
48	192000.0	444.0
49	196000.0	453.0
50	200000.0	410.0
51	204000.0	447.0
52	208000.0	405.0
53	212000.0	441.0
54	216000.0	434.0
55	220000.0	453.0
56	224000.0	456.0
57	228000.0	435.0
58	232000.0	461.0
59	236000.0	437.0
60	240000.0	429.0
61	244000.0	459.0
62	248000.0	414.0
63	252000.0	463.0
64	256000.0	441.0
65	260000.0	443.0
66	264000.0	435.0
67	268000.0	432.0
68	272000.0	421.0
69	276000.0	426.0
70	280000.0	433.0
71	284000.0	436.0
72	288000.0	446.0
73	292000.0	440.0
74	296000.0	427.0
75	300000.0	422.0
76	304000.0	450.0
77	308000.0	437.0
78	312000.0	450.0
79	316000.0	409.0
80	320000.0	456.0
81	324000.0	465.0
82	328000.0	420.0
83	332000.0	435.0
84	336000.0	456.0
85	340000.0	413.0
86	344000.0	469.0
87	348000.0	423.0
88	352000.0	413.0
89	356000.0	432.0
90	360000.0	423.0
91	364000.0	446.0
92	368000.0	417.0
93	372000.0	416.0
94	376000.0	428.0
95	380000.0	477.0
96	384000.0	430.0
97	388000.0	421.0
98	392000.0	397.0
99	396000.0	413.0
100	400000.0	402.0
101	404000.0	435.0
102	408000.0	421.0
103	412000.0	366.0
104	416000.0	405.0
105	420000.0	400.0
106	424000.0	423.0
107	428000.0	432.0
108	432000.0	398.0
109	436000.0	434.0
110	440000.0	444.0
111	444000.0	378.0
112	448000.0	438.0
113	452000.0	394.0
114	456000.0	442.0
115	460000.0	447.0
116	464000.0	411.0
117	468000.0	445.0
118	472000.0	416.0
119	476000.0	414.0
