	bins [ps]	counts [#]
0	0.0	3.0
1	2000.0	2.0
2	4000.0	2.0
3	6000.0	3.0
4	8000.0	5.0
5	10000.0	6.0
6	12000.0	6.0
7	14000.0	5.0
8	16000.0	6.0
9	18000.0	2.0
10	20000.0	3.0
11	22000.0	4.0
12	24000.0	3.0
13	26000.0	8.0
14	28000.0	6.0
15	30000.0	1.0
16	32000.0	2.0
17	34000.0	2.0
18	36000.0	5.0
19	38000.0	4.0
20	40000.0	2.0
21	42000.0	5.0
22	44000.0	3.0
23	46000.0	2.0
24	48000.0	3.0
25	50000.0	4.0
26	52000.0	3.0
27	54000.0	6.0
28	56000.0	1655.0
29	58000.0	123429.0
30	60000.0	134650.0
31	62000.0	94040.0
32	64000.0	73281.0
33	66000.0	61835.0
34	68000.0	53839.0
35	70000.0	48481.0
36	72000.0	43708.0
37	74000.0	40104.0
38	76000.0	37146.0
39	78000.0	34205.0
40	80000.0	32008.0
41	82000.0	30598.0
42	84000.0	28386.0
43	86000.0	26984.0
44	88000.0	25587.0
45	90000.0	24183.0
46	92000.0	23431.0
47	94000.0	22440.0
48	96000.0	21241.0
49	98000.0	20366.0
50	100000.0	19662.0
51	102000.0	19038.0
52	104000.0	19077.0
53	106000.0	18368.0
54	108000.0	17351.0
55	110000.0	16815.0
56	112000.0	16684.0
57	114000.0	16125.0
58	116000.0	15418.0
59	118000.0	15076.0
60	120000.0	14742.0
61	122000.0	14337.0
62	124000.0	13807.0
63	126000.0	13574.0
64	128000.0	13367.0
65	130000.0	12720.0
66	132000.0	12462.0
67	134000.0	12258.0
68	136000.0	11827.0
69	138000.0	11851.0
70	140000.0	11463.0
71	142000.0	11312.0
72	144000.0	11020.0
73	146000.0	10750.0
74	148000.0	10525.0
75	150000.0	10274.0
76	152000.0	10306.0
77	154000.0	9879.0
78	156000.0	9534.0
79	158000.0	9606.0
80	160000.0	9347.0
81	162000.0	9387.0
82	164000.0	8927.0
83	166000.0	8780.0
84	168000.0	8595.0
85	170000.0	8448.0
86	172000.0	8427.0
87	174000.0	8117.0
88	176000.0	8053.0
89	178000.0	7939.0
90	180000.0	7756.0
91	182000.0	7789.0
92	184000.0	7569.0
93	186000.0	7450.0
94	188000.0	7291.0
95	190000.0	7083.0
96	192000.0	7122.0
97	194000.0	7041.0
98	196000.0	6941.0
99	198000.0	6878.0
100	200000.0	6619.0
101	202000.0	6538.0
102	204000.0	6452.0
103	206000.0	6350.0
104	208000.0	6335.0
105	210000.0	6177.0
106	212000.0	6278.0
107	214000.0	6003.0
108	216000.0	5983.0
109	218000.0	5954.0
110	220000.0	5858.0
111	222000.0	5710.0
112	224000.0	5722.0
113	226000.0	5681.0
114	228000.0	5558.0
115	230000.0	5537.0
116	232000.0	5456.0
117	234000.0	5351.0
118	236000.0	5220.0
119	238000.0	5206.0
120	240000.0	5070.0
121	242000.0	5054.0
122	244000.0	5148.0
123	246000.0	4973.0
124	248000.0	4853.0
125	250000.0	4893.0
126	252000.0	4838.0
127	254000.0	4826.0
128	256000.0	4717.0
129	258000.0	4614.0
130	260000.0	4709.0
131	262000.0	4434.0
132	264000.0	4490.0
133	266000.0	4495.0
134	268000.0	4265.0
135	270000.0	4318.0
136	272000.0	4380.0
137	274000.0	4184.0
138	276000.0	4338.0
139	278000.0	4233.0
140	280000.0	4207.0
141	282000.0	4042.0
142	284000.0	4178.0
143	286000.0	4135.0
144	288000.0	4021.0
145	290000.0	4037.0
146	292000.0	3958.0
147	294000.0	3895.0
148	296000.0	3753.0
149	298000.0	3876.0
150	300000.0	3772.0
151	302000.0	3787.0
152	304000.0	3725.0
153	306000.0	3678.0
154	308000.0	3590.0
155	310000.0	3640.0
156	312000.0	3588.0
157	314000.0	3641.0
158	316000.0	3537.0
159	318000.0	3525.0
160	320000.0	3430.0
161	322000.0	3455.0
162	324000.0	3347.0
163	326000.0	3393.0
164	328000.0	3240.0
165	330000.0	3275.0
166	332000.0	3389.0
167	334000.0	3327.0
168	336000.0	3201.0
169	338000.0	3230.0
170	340000.0	3109.0
171	342000.0	3200.0
172	344000.0	3164.0
173	346000.0	3112.0
174	348000.0	3138.0
175	350000.0	3071.0
176	352000.0	3008.0
177	354000.0	2930.0
178	356000.0	3000.0
179	358000.0	3055.0
180	360000.0	2929.0
181	362000.0	2951.0
182	364000.0	2900.0
183	366000.0	2896.0
184	368000.0	2849.0
185	370000.0	2776.0
186	372000.0	2858.0
187	374000.0	2781.0
188	376000.0	2735.0
189	378000.0	2674.0
190	380000.0	2803.0
191	382000.0	2707.0
192	384000.0	2664.0
193	386000.0	2626.0
194	388000.0	2631.0
195	390000.0	2651.0
196	392000.0	2679.0
197	394000.0	2639.0
198	396000.0	2575.0
199	398000.0	2657.0
200	400000.0	2618.0
201	402000.0	2444.0
202	404000.0	2586.0
203	406000.0	2521.0
204	408000.0	2487.0
205	410000.0	2451.0
206	412000.0	2647.0
207	414000.0	2443.0
208	416000.0	2502.0
209	418000.0	2289.0
210	420000.0	2431.0
211	422000.0	2369.0
212	424000.0	2378.0
213	426000.0	2311.0
214	428000.0	2382.0
215	430000.0	2309.0
216	432000.0	2265.0
217	434000.0	2372.0
218	436000.0	2266.0
219	438000.0	2303.0
220	440000.0	2240.0
221	442000.0	2233.0
222	444000.0	2262.0
223	446000.0	2223.0
224	448000.0	2260.0
225	450000.0	2216.0
226	452000.0	2213.0
227	454000.0	2143.0
228	456000.0	2146.0
229	458000.0	2077.0
230	460000.0	2069.0
231	462000.0	2159.0
232	464000.0	2101.0
233	466000.0	2131.0
234	468000.0	2076.0
235	470000.0	1988.0
236	472000.0	1991.0
237	474000.0	2019.0
238	476000.0	2096.0
239	478000.0	2009.0
240	480000.0	1952.0
241	482000.0	1924.0
242	484000.0	2030.0
243	486000.0	1944.0
244	488000.0	1924.0
245	490000.0	2029.0
246	492000.0	1901.0
247	494000.0	1920.0
248	496000.0	1938.0
249	498000.0	1907.0
250	500000.0	1852.0
251	502000.0	1903.0
252	504000.0	1879.0
253	506000.0	1818.0
254	508000.0	1915.0
255	510000.0	1804.0
256	512000.0	1775.0
257	514000.0	1854.0
258	516000.0	1807.0
259	518000.0	1809.0
260	520000.0	1849.0
261	522000.0	1798.0
262	524000.0	1850.0
263	526000.0	1751.0
264	528000.0	1870.0
265	530000.0	1775.0
266	532000.0	1727.0
267	534000.0	1710.0
268	536000.0	1752.0
269	538000.0	1797.0
270	540000.0	1667.0
271	542000.0	1632.0
272	544000.0	1697.0
273	546000.0	1686.0
274	548000.0	1683.0
275	550000.0	1678.0
276	552000.0	1679.0
277	554000.0	1700.0
278	556000.0	1671.0
279	558000.0	1633.0
280	560000.0	1593.0
281	562000.0	1624.0
282	564000.0	1552.0
283	566000.0	1557.0
284	568000.0	1597.0
285	570000.0	1559.0
286	572000.0	1597.0
287	574000.0	1546.0
288	576000.0	1621.0
289	578000.0	1573.0
290	580000.0	1598.0
291	582000.0	1500.0
292	584000.0	1463.0
293	586000.0	1480.0
294	588000.0	1551.0
295	590000.0	1482.0
296	592000.0	1482.0
297	594000.0	1481.0
298	596000.0	1517.0
299	598000.0	1484.0
300	600000.0	1448.0
301	602000.0	1559.0
302	604000.0	1445.0
303	606000.0	1453.0
304	608000.0	1429.0
305	610000.0	1415.0
306	612000.0	1371.0
307	614000.0	1363.0
308	616000.0	1375.0
309	618000.0	1366.0
310	620000.0	1435.0
311	622000.0	1473.0
312	624000.0	1429.0
313	626000.0	1392.0
314	628000.0	1380.0
315	630000.0	1366.0
316	632000.0	1314.0
317	634000.0	1342.0
318	636000.0	1364.0
319	638000.0	1377.0
320	640000.0	1365.0
321	642000.0	1323.0
322	644000.0	1343.0
323	646000.0	1389.0
324	648000.0	1355.0
325	650000.0	1351.0
326	652000.0	1372.0
327	654000.0	1336.0
328	656000.0	1318.0
329	658000.0	1303.0
330	660000.0	1346.0
331	662000.0	1281.0
332	664000.0	1364.0
333	666000.0	1288.0
334	668000.0	1223.0
335	670000.0	1288.0
336	672000.0	1284.0
337	674000.0	1336.0
338	676000.0	1286.0
339	678000.0	1248.0
340	680000.0	1300.0
341	682000.0	1275.0
342	684000.0	1219.0
343	686000.0	1247.0
344	688000.0	1255.0
345	690000.0	1256.0
346	692000.0	1247.0
347	694000.0	1239.0
348	696000.0	1227.0
349	698000.0	1179.0
350	700000.0	1205.0
351	702000.0	1203.0
352	704000.0	1184.0
353	706000.0	1203.0
354	708000.0	1222.0
355	710000.0	1134.0
356	712000.0	1193.0
357	714000.0	1166.0
358	716000.0	1194.0
359	718000.0	1209.0
360	720000.0	1168.0
361	722000.0	1214.0
362	724000.0	1148.0
363	726000.0	1211.0
364	728000.0	1151.0
365	730000.0	1124.0
366	732000.0	1112.0
367	734000.0	1122.0
368	736000.0	1144.0
369	738000.0	1119.0
370	740000.0	1134.0
371	742000.0	1190.0
372	744000.0	1094.0
373	746000.0	1061.0
374	748000.0	1168.0
375	750000.0	1153.0
376	752000.0	1149.0
377	754000.0	1090.0
378	756000.0	1141.0
379	758000.0	1103.0
380	760000.0	1081.0
381	762000.0	1068.0
382	764000.0	1144.0
383	766000.0	1095.0
384	768000.0	1068.0
385	770000.0	1104.0
386	772000.0	1099.0
387	774000.0	1055.0
388	776000.0	1126.0
389	778000.0	1074.0
390	780000.0	1107.0
391	782000.0	1103.0
392	784000.0	1097.0
393	786000.0	1037.0
394	788000.0	1062.0
395	790000.0	1059.0
396	792000.0	1024.0
397	794000.0	1025.0
398	796000.0	1028.0
399	798000.0	1049.0
400	800000.0	1036.0
401	802000.0	1057.0
402	804000.0	1018.0
403	806000.0	999.0
404	808000.0	989.0
405	810000.0	966.0
